Instance;betaLS;CostSol;time;Capacity;reliability;variance;stochastic_of;stochastic_capacity;deterministic;type_simulation;inversa;weight;seed
MDG-b_01_n500_b02_m50,txt;0,3;4,9;2,2841579669999996;146591,0;0,278;0,1;4,9;144797,26085228712;True;True;0,6;0,8;23456
MDG-b_01_n500_b02_m50,txt;0,3;4,9;2,2841579669999996;146591,0;0,278;0,1;1,3621999999999999;145864,1296293176;True;False;0,6;0,8;23456
MDG-b_01_n500_b02_m50,txt;0,3;3,5;0;149310,0;0,971;0,1;3,5;149895,86933321255;False;True;0,6;0,8;23456
MDG-b_01_n500_b02_m50,txt;0,3;4,7;4,748702639999976;146586,0;0,281;0,1;1,3207;145903,35029228823;False;False;0,6;0,8;23456
MDG-b_01_n500_b02_m50,txt;0,3;4,9;93,78133978100004;146500,0;0,24;0,1;4,9;146545,01448647326;True;True;0,6;0,8;764534
MDG-b_01_n500_b02_m50,txt;0,3;4,9;93,78133978100004;146500,0;0,248;0,1;1,2152;145755,00794649858;True;False;0,6;0,8;764534
MDG-b_01_n500_b02_m50,txt;0,3;3,6;0;148814,0;0,938;0,1;3,6;147435,7385882949;False;True;0,6;0,8;764534
MDG-b_01_n500_b02_m50,txt;0,3;4,9;95,49960274800014;146592,0;0,271;0,1;1,3279;145884,86364066438;False;False;0,6;0,8;764534
MDG-b_01_n500_b02_m50,txt;0,3;4,9;42,75438931100007;146581,0;0,25;0,1;4,9;145493,27139930348;True;True;0,6;0,8;5161240
MDG-b_01_n500_b02_m50,txt;0,3;4,9;42,75438931100007;146581,0;0,298;0,1;1,4601999999999997;145923,17701943504;True;False;0,6;0,8;5161240
MDG-b_01_n500_b02_m50,txt;0,3;4,0;0;147608,0;0,646;0,1;4,0;147577,1745275379;False;True;0,6;0,8;5161240
MDG-b_01_n500_b02_m50,txt;0,3;4,7;8,603325827999925;146570,0;0,24;0,1;1,128;145737,1580007357;False;False;0,6;0,8;5161240
MDG-b_01_n500_b02_m50,txt;0,3;4,9;40,449393826999994;146538,0;0,273;0,1;4,9;146212,17090904547;True;True;0,6;0,8;5768318
MDG-b_01_n500_b02_m50,txt;0,3;4,9;40,449393826999994;146538,0;0,275;0,1;1,3475;145817,200508112;True;False;0,6;0,8;5768318
MDG-b_01_n500_b02_m50,txt;0,3;4,0;121,00261539100029;149078,0;0,961;0,1;4,0;148277,54294919106;False;True;0,6;0,8;5768318
MDG-b_01_n500_b02_m50,txt;0,3;4,9;41,02299859699997;146538,0;0,222;0,1;1,0877999999999999;145780,36587917333;False;False;0,6;0,8;5768318
MDG-b_01_n500_b02_m50,txt;0,3;4,9;2,2724310190001233;146591,0;0,15;0,15;4,9;147546,7899288717;True;True;0,6;0,8;23456
MDG-b_01_n500_b02_m50,txt;0,3;4,9;2,2724310190001233;146591,0;0,165;0,15;0,8085;144950,82135835325;True;False;0,6;0,8;23456
MDG-b_01_n500_b02_m50,txt;0,3;3,7;0,0;151968,0;0,996;0,15;3,7;148332,11765338414;False;True;0,6;0,8;23456
MDG-b_01_n500_b02_m50,txt;0,3;4,9;102,53075031700018;146599,0;0,163;0,15;0,7987000000000001;145006,31289121252;False;False;0,6;0,8;23456
MDG-b_01_n500_b02_m50,txt;0,3;4,9;94,73349296900005;146500,0;0,133;0,15;4,9;145791,35688363155;True;True;0,6;0,8;764534
MDG-b_01_n500_b02_m50,txt;0,3;4,9;94,73349296900005;146500,0;0,135;0,15;0,6615;144840,85675316767;True;False;0,6;0,8;764534
MDG-b_01_n500_b02_m50,txt;0,3;3,5;0;151036,0;0,959;0,15;3,5;149338,77353824384;False;True;0,6;0,8;764534
MDG-b_01_n500_b02_m50,txt;0,3;4,0;0,0;146563,0;0,173;0,15;0,692;144935,55689808648;False;False;0,6;0,8;764534
MDG-b_01_n500_b02_m50,txt;0,3;4,9;42,825164015000155;146581,0;0,166;0,15;4,9;144612,05457546195;True;True;0,6;0,8;5161240
MDG-b_01_n500_b02_m50,txt;0,3;4,9;42,825164015000155;146581,0;0,151;0,15;0,7399;144954,39992963706;True;False;0,6;0,8;5161240
MDG-b_01_n500_b02_m50,txt;0,3;4,0;0;149829,0;0,867;0,15;4,0;146604,76051077084;False;True;0,6;0,8;5161240
MDG-b_01_n500_b02_m50,txt;0,3;4,5;1,7286568399995303;146557,0;0,151;0,15;0,6795;144835,63958601956;False;False;0,6;0,8;5161240
MDG-b_01_n500_b02_m50,txt;0,3;4,9;40,06657987100061;146538,0;0,145;0,15;4,9;145125,4310249492;True;True;0,6;0,8;5768318
MDG-b_01_n500_b02_m50,txt;0,3;4,9;40,06657987100061;146538,0;0,168;0,15;0,8232;144919,20454115156;True;False;0,6;0,8;5768318
MDG-b_01_n500_b02_m50,txt;0,3;3,4;0;151315,0;0,97;0,15;3,4;148817,96264840444;False;True;0,6;0,8;5768318
MDG-b_01_n500_b02_m50,txt;0,3;4,7;6,240683218000413;146733,0;0,166;0,15;0,7802;145000,64649809542;False;False;0,6;0,8;5768318
MDG-b_01_n500_b02_m50,txt;0,3;4,9;2,2708469929993953;146591,0;0,087;0,2;4,9;148765,1356285762;True;True;0,6;0,8;23456
MDG-b_01_n500_b02_m50,txt;0,3;4,9;2,2708469929993953;146591,0;0,089;0,2;0,43610000000000004;143639,64094047077;True;False;0,6;0,8;23456
MDG-b_01_n500_b02_m50,txt;0,3;3,2;0;155336,0;0,998;0,2;3,2;149193,63172744642;False;True;0,6;0,8;23456
MDG-b_01_n500_b02_m50,txt;0,3;4,9;103,509553504;146599,0;0,088;0,2;0,4312;143569,04096573364;False;False;0,6;0,8;23456
MDG-b_01_n500_b02_m50,txt;0,3;4,9;94,02236270199955;146500,0;0,087;0,2;4,9;143628,25508929213;True;True;0,6;0,8;764534
MDG-b_01_n500_b02_m50,txt;0,3;4,9;94,02236270199955;146500,0;0,085;0,2;0,4165;143577,66261420067;True;False;0,6;0,8;764534
MDG-b_01_n500_b02_m50,txt;0,3;3,6;0,0;153839,0;0,978;0,2;3,6;152650,96540809236;False;True;0,6;0,8;764534
MDG-b_01_n500_b02_m50,txt;0,3;4,9;96,01430019500003;146592,0;0,089;0,2;0,43610000000000004;143548,01373052492;False;False;0,6;0,8;764534
MDG-b_01_n500_b02_m50,txt;0,3;4,9;43,16353579399947;146581,0;0,085;0,2;4,9;145504,30168736473;True;True;0,6;0,8;5161240
MDG-b_01_n500_b02_m50,txt;0,3;4,9;43,16353579399947;146581,0;0,077;0,2;0,3773;143640,255607368;True;False;0,6;0,8;5161240
MDG-b_01_n500_b02_m50,txt;0,3;4,0;0,0;150814,0;0,725;0,2;4,0;149383,1938204597;False;True;0,6;0,8;5161240
MDG-b_01_n500_b02_m50,txt;0,3;4,9;123,41782389499986;146564,0;0,072;0,2;0,3528;143513,27560930784;False;False;0,6;0,8;5161240
MDG-b_01_n500_b02_m50,txt;0,3;4,9;40,089852626999345;146538,0;0,097;0,2;4,9;139331,27216239736;True;True;0,6;0,8;5768318
MDG-b_01_n500_b02_m50,txt;0,3;4,9;40,089852626999345;146538,0;0,084;0,2;0,4116;143654,57718543825;True;False;0,6;0,8;5768318
MDG-b_01_n500_b02_m50,txt;0,3;3,3;0;153924,0;0,978;0,2;3,3;147993,5159269984;False;True;0,6;0,8;5768318
MDG-b_01_n500_b02_m50,txt;0,3;4,9;41,14681132899932;146538,0;0,093;0,2;0,45570000000000005;143662,746525671;False;False;0,6;0,8;5768318
MDG-b_02_n500_b02_m50,txt;0,3;5,3;17,735543734999737;144953,0;0,254;0,1;5,3;144361,1048503368;True;True;0,6;0,8;23456
MDG-b_02_n500_b02_m50,txt;0,3;5,3;17,735543734999737;144953,0;0,247;0,1;1,3091;144219,53163713025;True;False;0,6;0,8;23456
MDG-b_02_n500_b02_m50,txt;0,3;3,9;0;147375,0;0,967;0,1;3,9;146909,74267684086;False;True;0,6;0,8;23456
MDG-b_02_n500_b02_m50,txt;0,3;5,2;8,447943241000758;144957,0;0,27;0,1;1,404;144214,64836936645;False;False;0,6;0,8;23456
MDG-b_02_n500_b02_m50,txt;0,3;5,2;32,22886026699962;144928,0;0,238;0,1;5,2;145253,9806891708;True;True;0,6;0,8;764534
MDG-b_02_n500_b02_m50,txt;0,3;5,2;32,22886026699962;144928,0;0,262;0,1;1,3624;144207,0895197074;True;False;0,6;0,8;764534
MDG-b_02_n500_b02_m50,txt;0,3;4,4;0;146792,0;0,862;0,1;4,4;144858,66282747;False;True;0,6;0,8;764534
MDG-b_02_n500_b02_m50,txt;0,3;5,0;0,0;145159,0;0,322;0,1;1,61;144459,70224831367;False;False;0,6;0,8;764534
