Instance;betaLS;CostSol;time;Capacity;reliability;variance;stochastic_of;stochastic_capacity;deterministic;type_simulation;inversa;weight;seed
GKD-b_12_n50_b02_m5,txt;0,3;136,1;0,019428376999940156;15516,0;0,447;0,2;121,39019999999998;17645,08427066939;True;False;0,6;0,8;764534
GKD-b_12_n50_b02_m5,txt;0,3;134,6;5,447014485999944;15625,0;0,542;0,2;123,10419999999998;17348,36858230286;False;False;0,6;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;55,1;0,024869390000048952;17438,0;0,745;0,1;55,1;17191,12349488697;True;True;0,6;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;55,1;0,024869390000048952;17438,0;0,736;0,1;46,41440000000001;18639,580285803822;True;False;0,6;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;54,3;2,5567018369999914;17715,0;0,922;0,1;51,819599999999994;17997,302784356736;False;False;0,6;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;55,1;0,052189360000056695;17466,0;0,769;0,1;55,1;17334,5534933459;True;True;0,6;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;55,1;0,052189360000056695;17466,0;0,785;0,1;48,02650000000001;18415,7665572887;True;False;0,6;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;54,8;2,4705484040000556;17669,0;0,914;0,1;51,99639999999999;17996,302816052004;False;False;0,6;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;55,1;0,020536528000093313;17438,0;0,591;0,15;55,1;17143,86372288974;True;True;0,6;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;55,1;0,020536528000093313;17438,0;0,608;0,15;42,20320000000001;19239,681688512035;True;False;0,6;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;54,3;3,9806202920001397;17715,0;0,754;0,15;46,403400000000005;18716,27532921341;False;False;0,6;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;55,1;0,17998287599994;17466,0;0,617;0,15;55,1;16443,967036681526;True;True;0,6;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;55,1;0,17998287599994;17466,0;0,637;0,15;43,26620000000001;19074,538418421595;True;False;0,6;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;54,8;0,8408679920003124;17669,0;0,767;0,15;47,2042;18660,64951920908;False;False;0,6;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;55,1;0,02299597899991568;17438,0;0,505;0,2;55,1;18615,795472384852;True;True;0,6;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;55,1;0,02299597899991568;17438,0;0,493;0,2;38,5718;19781,852354068084;True;False;0,6;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;55,1;2,1871839529999306;17438,0;0,505;0,2;38,8145;19729,128450427852;False;False;0,6;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;55,1;0,054252149000149075;17466,0;0,507;0,2;55,1;15858,893005405867;True;True;0,6;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;55,1;0,054252149000149075;17466,0;0,519;0,2;39,27510000000001;19625,960950034427;True;False;0,6;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;55,1;9,786265361999995;17408,0;0,487;0,2;38,222300000000004;19784,857443243607;False;False;0,6;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;47,9;0,045216170999992755;14088,0;0,669;0,1;47,9;14145,954496508422;True;True;0,6;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;47,9;0,045216170999992755;14088,0;0,673;0,1;36,88009999999999;15247,67000083507;True;False;0,6;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;47,9;0,258618509000371;13920,0;0,499;0,1;31,01629999999999;15768,770459703244;False;False;0,6;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;47,9;0,03292253300014636;14088,0;0,692;0,1;47,9;13737,635836302003;True;True;0,6;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;47,9;0,03292253300014636;14088,0;0,691;0,1;37,48669999999999;15196,37278433287;True;False;0,6;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;47,9;2,2298052190003546;14100,0;0,712;0,1;38,194399999999995;15119,820389412955;False;False;0,6;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;47,9;0,047501634000127524;14088,0;0,57;0,15;47,9;14569,983981096411;True;True;0,6;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;47,9;0,047501634000127524;14088,0;0,569;0,15;33,37529999999999;15632,3277473939;True;False;0,6;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;47,9;0,2603995150002447;13920,0;0,428;0,15;28,623599999999993;16050,382649279829;False;False;0,6;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;47,9;0,030694884000240563;14088,0;0,521;0,15;47,9;13521,141612114248;True;True;0,6;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;47,9;0,030694884000240563;14088,0;0,547;0,15;32,63389999999999;15712,540163670212;True;False;0,6;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;47,9;0,9237268490001043;14088,0;0,538;0,15;32,33059999999999;15732,996614545404;False;False;0,6;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;47,9;0,04409519000000728;14088,0;0,46;0,2;47,9;14119,598440693662;True;True;0,6;0,8;23456
