Instance;betaLS;CostSol;time;Capacity;reliability;variance;stochastic_of;stochastic_capacity;deterministic;type_simulation;inversa;weight;seed
GKD-b_12_n50_b02_m5,txt;0,3;178,1;0,19362990499985244;5318,0;0,648;0,2;116,55629999999998;12494,890885255401;True;False;0,0;0,8;764534
GKD-b_12_n50_b02_m5,txt;0,3;163,0;0;5641,0;0,863;0,2;140,669;8351,279574710075;False;False;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;96,1;0,21778850800001237;5790,0;0,61;0,1;96,1;5883,005457150438;True;True;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;96,1;0,21778850800001237;5790,0;0,587;0,1;56,929300000000005;15241,935411291806;True;False;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;87,8;0,0;6256,0;0,993;0,1;87,18539999999996;6409,510431963787;False;False;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;96,1;7,019331005000367;5790,0;0,623;0,1;96,1;6117,931390535786;True;True;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;96,1;7,019331005000367;5790,0;0,626;0,1;60,6771;14356,216106556143;True;False;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;92,2;4,693385459000183;6206,0;0,976;0,1;89,98720000000004;6715,200884375324;False;False;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;96,1;0,2171027510003114;5790,0;0,543;0,15;96,1;5920,2122611692175;True;True;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;96,1;0,2171027510003114;5790,0;0,514;0,15;49,936;16931,24186615678;True;False;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;87,8;0,0;6256,0;0,931;0,15;81,74179999999997;7807,877030458163;False;False;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;96,1;7,042026948999592;5790,0;0,53;0,15;96,1;6262,976926999949;True;True;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;96,1;7,042026948999592;5790,0;0,558;0,15;54,0373;15931,26855384894;True;False;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;92,2;4,572274647000086;6206,0;0,891;0,15;82,15020000000004;8628,075519705344;False;False;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;96,1;0,09274344700043002;5790,0;0,496;0,2;96,1;5951,431112090442;True;True;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;96,1;0,09274344700043002;5790,0;0,464;0,2;45,101;18092,52728929148;True;False;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;87,8;0,0;6256,0;0,85;0,2;74,62999999999997;9642,849267122816;False;False;0,0;0,8;23456
GKD-b_13_n50_b02_m5,txt;0,3;96,1;7,138959312000225;5790,0;0,46;0,2;96,1;6396,451517354491;True;True;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;96,1;7,138959312000225;5790,0;0,509;0,2;49,3646;17068,903143466538;True;False;0,0;0,8;764534
GKD-b_13_n50_b02_m5,txt;0,3;92,2;4,7260813339999;6206,0;0,792;0,2;73,02240000000002;10866,590654970478;False;False;0,0;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,490624093000406;4731,0;0,656;0,1;84,6;4937,134115599687;True;True;0,0;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,490624093000406;4731,0;0,673;0,1;57,4256;10795,352357135165;True;False;0,0;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;81,2;4,60991632600053;5010,0;0,979;0,1;79,49480000000001;5395,764293474294;False;False;0,0;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,768496335999771;4779,0;0,758;0,1;84,6;5039,031270551147;True;True;0,0;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,768496335999771;4779,0;0,77;0,1;65,6065;9037,43874615934;True;False;0,0;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;81,2;4,748483219999798;5272,0;0,999;0,1;81,11880000000002;5265,53435333165;False;False;0,0;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,4928725499994471;4731,0;0,571;0,15;84,6;5032,600638614848;True;True;0,0;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,4928725499994471;4731,0;0,568;0,15;48,47290000000001;12756,766447020935;True;False;0,0;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;81,2;4,702535612000247;5010,0;0,891;0,15;72,34920000000001;7006,062623593181;False;False;0,0;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,8927196290005668;4779,0;0,653;0,15;84,6;5152,151784260766;True;True;0,0;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,8927196290005668;4779,0;0,66;0,15;56,236900000000006;11085,121174804926;True;False;0,0;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;81,2;4,72561311499976;5272,0;0,976;0,15;79,25120000000003;5661,669733588596;False;False;0,0;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,48990453599981265;4731,0;0,515;0,2;84,6;5123,249373716336;True;True;0,0;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,48990453599981265;4731,0;0,511;0,2;43,6133;13828,976108665705;True;False;0,0;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;62,5;0;5040,0;0,781;0,2;48,8125;9061,089781278426;False;False;0,0;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,7629414479997649;4779,0;0,573;0,2;84,6;5254,95676609199;True;True;0,0;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;84,6;0,7629414479997649;4779,0;0,585;0,2;49,889700000000005;12485,54881526809;True;False;0,0;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;81,2;4,575266107000061;5272,0;0,907;0,2;73,64840000000002;6907,115973399625;False;False;0,0;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;154,9;0,20776103400021384;5000,0;0,718;0,1;154,9;5012,846826016296;True;True;0,0;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;154,9;0,20776103400021384;5000,0;0,706;0,1;110,52550000000002;10730,147058695551;True;False;0,0;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;149,5;51,21349727600045;5160,0;0,91;0,1;136,045;6897,784759355882;False;False;0,0;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;154,9;0,028444507999665802;5000,0;0,728;0,1;154,9;5210,237751777417;True;True;0,0;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;154,9;0,028444507999665802;5000,0;0,728;0,1;113,81310000000002;10304,572954979054;True;False;0,0;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;153,1;41,946267079999416;5243,0;0,954;0,1;146,05739999999997;6117,019983664199;False;False;0,0;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;154,9;0,20671537999987777;5000,0;0,625;0,15;154,9;5012,6157607652085;True;True;0,0;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;154,9;0,20671537999987777;5000,0;0,592;0,15;92,96580000000002;12965,74168473524;True;False;0,0;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;147,7;13,902255788999355;5346,0;0,93;0,15;137,36100000000002;6704,5296768868775;False;False;0,0;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;154,9;0,15315254100005404;5000,0;0,615;0,15;154,9;5302,436796205061;True;True;0,0;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;154,9;0,15315254100005404;5000,0;0,625;0,15;97,78420000000001;12325,608644609896;True;False;0,0;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;153,1;37,09456337700067;5243,0;0,838;0,15;128,29779999999997;8344,433207135464;False;False;0,0;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;154,9;0,20924734599975636;5000,0;0,539;0,2;154,9;5008,0338072527875;True;True;0,0;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;154,9;0,20924734599975636;5000,0;0,525;0,2;82,4466;14286,373999404781;True;False;0,0;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;147,2;0,0;5350,0;0,8;0,2;117,76000000000002;9191,741941867705;False;False;0,0;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;154,9;0,02831488000083482;5000,0;0,536;0,2;154,9;5386,677856130154;True;True;0,0;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;154,9;0,02831488000083482;5000,0;0,553;0,2;86,51620000000001;13742,291056908147;True;False;0,0;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;153,1;9,510517569999138;5051,0;0,601;0,2;92,0131;12830,384627455649;False;False;0,0;0,8;764534
GKD-b_16_n50_b02_m15,txt;0,3;77,7;0,2028726150001603;4932,0;0,508;0,1;77,7;5002,227090576093;True;True;0,0;0,8;23456
GKD-b_16_n50_b02_m15,txt;0,3;77,7;0,2028726150001603;4932,0;0,483;0,1;37,83410000000001;15135,141250710905;True;False;0,0;0,8;23456
GKD-b_16_n50_b02_m15,txt;0,3;77,7;52,19534320599996;5299,0;0,964;0,1;74,90280000000001;5996,884602375822;False;False;0,0;0,8;23456
GKD-b_16_n50_b02_m15,txt;0,3;77,7;0,27901091199964867;5263,0;0,932;0,1;77,7;5519,7376899071;True;True;0,0;0,8;764534
GKD-b_16_n50_b02_m15,txt;0,3;77,7;0,27901091199964867;5263,0;0,937;0,1;73,1727;6480,417426202123;True;False;0,0;0,8;764534
GKD-b_16_n50_b02_m15,txt;0,3;77,6;23,473291901000266;5369,0;0,973;0,1;75,50479999999999;5858,034081619339;False;False;0,0;0,8;764534
GKD-b_16_n50_b02_m15,txt;0,3;77,7;0,07838074799838068;4932,0;0,47;0,15;77,7;5027,854252760437;True;True;0,0;0,8;23456
GKD-b_16_n50_b02_m15,txt;0,3;77,7;0,07838074799838068;4932,0;0,443;0,15;34,7051;15946,352693219837;True;False;0,0;0,8;23456
GKD-b_16_n50_b02_m15,txt;0,3;55,8;0;5508,0;0,947;0,15;52,84259999999998;6502,222598738033;False;False;0,0;0,8;23456
GKD-b_16_n50_b02_m15,txt;0,3;77,7;0,277785746000518;5263,0;0,817;0,15;77,7;5632,815701820269;True;True;0,0;0,8;764534
GKD-b_16_n50_b02_m15,txt;0,3;77,7;0,277785746000518;5263,0;0,824;0,15;64,34510000000002;8693,938762518193;True;False;0,0;0,8;764534
GKD-b_16_n50_b02_m15,txt;0,3;77,6;23,73282324700085;5369,0;0,904;0,15;70,1504;7206,346446325244;False;False;0,0;0,8;764534
GKD-b_16_n50_b02_m15,txt;0,3;77,7;0,2037486799999897;4932,0;0,446;0,2;77,7;5047,378300554827;True;True;0,0;0,8;23456
GKD-b_16_n50_b02_m15,txt;0,3;77,7;0,2037486799999897;4932,0;0,424;0,2;33,2299;16341,37832694831;True;False;0,0;0,8;23456
GKD-b_16_n50_b02_m15,txt;0,3;55,8;0;5508,0;0,885;0,2;49,38299999999999;7696,216796063287;False;False;0,0;0,8;23456
GKD-b_16_n50_b02_m15,txt;0,3;77,7;0,2793097729991132;5263,0;0,729;0,2;77,7;5736,516283150802;True;True;0,0;0,8;764534
GKD-b_16_n50_b02_m15,txt;0,3;77,7;0,2793097729991132;5263,0;0,733;0,2;57,187900000000006;10480,512276504556;True;False;0,0;0,8;764534
GKD-b_16_n50_b02_m15,txt;0,3;77,6;23,978914862000238;5369,0;0,766;0,2;59,44160000000001;9884,79841383205;False;False;0,0;0,8;764534
GKD-b_17_n50_b02_m15,txt;0,3;41,8;0,0;5685,0;0,523;0,1;41,8;5784,54976956066;True;True;0,0;0,8;23456
GKD-b_17_n50_b02_m15,txt;0,3;41,8;0,0;5685,0;0,494;0,1;20,772;17193,762384160364;True;False;0,0;0,8;23456
GKD-b_17_n50_b02_m15,txt;0,3;36,5;13,843690285000775;6077,0;0,953;0,1;34,7845;7132,203523679729;False;False;0,0;0,8;23456
GKD-b_17_n50_b02_m15,txt;0,3;41,8;0,0;5685,0;0,499;0,1;41,8;5953,239313456242;True;True;0,0;0,8;764534
GKD-b_17_n50_b02_m15,txt;0,3;41,8;0,0;5685,0;0,526;0,1;22,0984;16467,059832995346;True;False;0,0;0,8;764534
GKD-b_17_n50_b02_m15,txt;0,3;35,2;32,22786289499891;6156,0;0,979;0,1;34,46079999999999;6603,521218480265;False;False;0,0;0,8;764534
GKD-b_17_n50_b02_m15,txt;0,3;41,8;0,0;5685,0;0,475;0,15;41,8;5825,964818020753;True;True;0,0;0,8;23456
GKD-b_17_n50_b02_m15,txt;0,3;41,8;0,0;5685,0;0,457;0,15;19,2296;18059,95953974569;True;False;0,0;0,8;23456
GKD-b_17_n50_b02_m15,txt;0,3;35,3;0,0;6343,0;0,965;0,15;34,06450000000001;7101,066958584363;False;False;0,0;0,8;23456
GKD-b_17_n50_b02_m15,txt;0,3;41,8;0,0;5685,0;0,456;0,15;41,8;6070,028217564966;True;True;0,0;0,8;764534
GKD-b_17_n50_b02_m15,txt;0,3;41,8;0,0;5685,0;0,488;0,15;20,511300000000002;17353,81002428588;True;False;0,0;0,8;764534
GKD-b_17_n50_b02_m15,txt;0,3;36,5;41,78216161000091;6077,0;0,851;0,15;31,0615;9409,049783078824;False;False;0,0;0,8;764534
GKD-b_17_n50_b02_m15,txt;0,3;41,8;0,0;5685,0;0,449;0,2;41,8;5861,988492355971;True;True;0,0;0,8;23456
GKD-b_17_n50_b02_m15,txt;0,3;41,8;0,0;5685,0;0,434;0,2;18,2495;18604,59958330515;True;False;0,0;0,8;23456
GKD-b_17_n50_b02_m15,txt;0,3;26,7;0;6337,0;0,894;0,2;23,869799999999994;8653,648593420592;False;False;0,0;0,8;23456
